jenis_kelamin,berat_kg,tinggi_cm,lingkar_perut_cm,frekuensi_makan,sarapan,konsumsi_sayur_buah,konsumsi_daging,konsumsi_susu,fast_food,minuman_bersoda,nafsu_makan_rumah,nafsu_makan_sekolah,air_minum,lama_tidur,olahraga,aktivitas_fisik,BMI,status_gizi
0,54.0,154.0,67.0,3,1,1,1,1,2,1,0,0,0,0,1,0,22.76943835385394,Normal
0,56.9,158.0,68.0,2,1,2,1,1,1,1,0,0,1,0,1,1,22.792821663194996,Normal
0,40.1,155.2,58.0,3,1,1,1,1,2,0,0,0,1,1,1,2,16.64795674354342,Kurus
0,48.8,144.4,66.0,2,1,1,1,1,2,0,0,0,1,1,0,1,23.40374920388886,Normal
1,53.0,166.8,64.0,3,1,2,2,1,1,1,0,0,1,1,1,2,19.049508594563193,Normal
1,53.1,166.6,70.0,4,1,0,2,2,2,0,0,0,2,1,1,2,19.131301980576144,Normal
1,53.0,163.2,70.0,3,1,1,1,2,1,1,0,0,1,1,1,1,19.89919742406767,Normal
0,51.1,160.4,62.0,2,1,1,2,1,2,2,1,0,0,0,1,0,19.861505836406486,Normal
1,73.8,161.8,86.0,3,1,2,1,2,2,1,0,0,2,1,2,2,28.190275959118747,Gemuk
1,45.0,167.6,60.0,3,1,1,2,2,1,2,0,1,1,1,2,0,16.020072795210783,Kurus
1,55.0,162.6,67.0,3,1,1,1,1,2,1,0,0,0,0,1,1,20.802791053740798,Normal
0,53.2,161.0,66.0,2,0,1,1,1,1,1,0,0,1,1,1,1,20.523899540912772,Normal
0,46.0,155.0,61.0,2,1,1,1,1,1,2,0,1,1,0,1,0,19.14672216441207,Normal
1,50.0,171.5,65.0,3,1,1,1,2,2,1,0,0,1,1,1,1,16.99971950462817,Kurus
0,46.0,150.0,62.0,2,0,1,1,1,1,0,0,1,1,1,0,1,20.444444444444443,Normal
0,47.6,154.0,65.0,4,1,1,1,0,1,0,0,0,1,1,0,0,20.070838252656436,Normal
0,43.0,148.0,60.0,3,1,1,1,1,0,0,0,0,0,0,0,0,19.631117604090576,Normal
1,40.4,167.0,60.0,2,1,1,1,1,1,1,0,1,0,1,0,0,14.485998063752733,Kurus
1,81.0,161.0,90.0,2,1,2,2,1,1,0,0,0,1,1,2,2,31.24879441379576,Obesitas
1,47.1,170.0,69.0,2,1,1,1,1,1,1,0,0,2,1,0,0,16.29757785467128,Kurus
0,63.7,156.0,69.0,2,1,2,1,2,1,1,1,1,1,1,1,1,26.175213675213673,Gemuk
0,54.0,153.0,67.0,2,1,1,1,1,1,1,0,0,1,1,1,1,23.06805074971165,Normal
1,52.1,165.0,68.0,3,1,1,1,1,2,1,1,0,1,1,1,2,19.136822773186413,Normal
1,54.0,171.0,60.0,3,1,1,2,2,2,2,0,1,0,1,1,2,18.467220683287167,Kurus
0,48.7,156.0,64.0,2,1,1,1,1,1,1,1,1,0,0,0,1,20.011505588428665,Normal
0,62.0,160.0,72.0,3,1,1,1,2,2,1,0,0,1,0,1,2,24.218749999999996,Normal
0,67.0,148.0,89.0,2,0,1,1,1,1,1,0,0,1,1,1,1,30.58802045288532,Obesitas
0,40.0,153.0,60.0,3,1,1,1,1,1,2,0,1,1,1,1,0,17.087444999786406,Kurus
0,42.6,149.0,63.0,1,0,1,1,1,1,1,1,1,0,1,1,2,19.18832485023197,Normal
1,86.0,172.0,94.0,3,1,2,2,2,2,1,0,0,1,1,1,0,29.069767441860467,Gemuk
1,46.0,171.0,60.0,3,1,1,1,1,1,1,0,0,1,1,0,1,15.731336137614994,Kurus
0,40.3,149.0,59.0,2,1,1,2,1,1,1,0,1,1,1,1,1,18.152335480383766,Kurus
0,38.8,150.0,54.0,3,1,1,1,1,1,1,0,0,1,1,1,0,17.244444444444444,Kurus
0,50.1,156.0,65.0,3,1,2,1,1,1,1,0,0,1,1,1,1,20.58678500986193,Normal
